"","COD_DPTO","Departamento","COD_MUNICIPIO","cod_unique_municipio","Municipio","week_1st","xcoord","ycoord"
"1","08","ATLANTICO","001","08001","BARRANQUILLA",1,1574524.11312,1711213.52194
"2","76","VALLE","834","76834","TULUA",1,1449560.7039,938328.68541
"3","08","ATLANTICO","758","08758","SOLEDAD",3,1580078.40315,1703022.5826
"4","13","BOLIVAR","657","13657","SAN JUAN NEPOMUCENO",4,1550212.36502,1598250.55802
"5","08","ATLANTICO","433","08433","MALAMBO",5,1577146.08502,1696459.66482
"6","13","BOLIVAR","433","13433","MAHATES",6,1537306.75756,1621399.09823
"7","76","VALLE","113","76113","BUGALAGRANDE",6,1443106.64862,956969.0035
"8","70","SUCRE","001","70001","SINCELEJO",7,1510922.03322,1525400.80157
"9","08","ATLANTICO","770","08770","SUAN",8,1567055.0252,1636593.90428
"10","13","BOLIVAR","212","13212","CORDOBA",8,1569788.20111,1551028.24841
"11","47","MAGDALENA","745","47745","SITIO NUEVO",8,1596446.93449,1701462.20362
"12","76","VALLE","001","76001","CALI",8,1389293.47038,868324.42082
"13","44","GUAJIRA","001","44001","RIOHACHA",9,1779217.41505,1744590.79579
"14","13","BOLIVAR","001","13001","CARTAGENA",10,1505142.28024,1651314.43291
"15","13","BOLIVAR","244","13244","EL CARMEN DE BOLIVAR",10,1540505.30629,1568335.84709
"16","15","BOYACA","172","15172","CHINAVITA",10,1748603.4401,1071102.99783
"17","85","CASANARE","010","85010","AGUAZUL",10,1837224.11629,1063532.80054
"18","86","PUTUMAYO","568","86568","PUERTO ASIS",10,1417674.58414,544806.00709
"19","86","PUTUMAYO","573","86573","PUERTO LEGUIZAMO",10,1558839.65802,498309.0177
"20","08","ATLANTICO","137","08137","CAMPO DE LA CRUZ",11,1570046.72076,1646835.82342
"21","08","ATLANTICO","634","08634","SABANAGRANDE",11,1581344.96233,1691050.40126
"22","20","CESAR","011","20011","AGUACHICA",11,1712609.94506,1409706.06986
"23","47","MAGDALENA","980","47980","ZONA BANANERA",11,1646253.36287,1691953.45912
"24","88","SAN ANDRES","001","88001","SAN ANDRES",11,821735.87958,1879494.71645
"25","15","BOYACA","248","15248","EL ESPINO",12,1842707.22252,1217803.29233
"26","17","CALDAS","174","17174","CHINCHINA",12,1489596.02528,1044868.53223
"27","44","GUAJIRA","078","44078","BARRANCAS",12,1809850.73872,1717061.51379
"28","70","SUCRE","221","70221","COVEÑAS",12,1485937.63628,1533709.15854
"29","70","SUCRE","523","70523","PALMITO",12,1496543.43131,1527241.1281
"30","05","ANTIOQUIA","266","05266","ENVIGADO",13,1501976.09651,1174442.74094
"31","13","BOLIVAR","836","13836","TURBACO",13,1515041.45009,1640480.25913
"32","15","BOYACA","667","15667","SAN LUIS DE GACENO",13,1773257.59405,1028178.99457
"33","54","NORTE SANTANDER","001","54001","CUCUTA",13,1838764.1412,1396686.15568
"34","54","NORTE SANTANDER","347","54347","HERRAN",13,1839561.38528,1327732.31069
"35","70","SUCRE","508","70508","OVEJAS",13,1537366.91109,1551620.5866
"36","85","CASANARE","001","85001","YOPAL",13,1869531.99599,1076931.2169
"37","86","PUTUMAYO","865","86865","VALLE DEL GUAMUEZ",13,1355669.79952,537502.33712
"38","08","ATLANTICO","296","08296","GALAPA",14,1568170.08037,1701795.07178
"39","13","BOLIVAR","430","13430","MAGANGUE",14,1586647.03003,1510108.88383
"40","13","BOLIVAR","647","13647","SAN ESTANISLAO",14,1534193.12506,1642052.95366
"41","19","CAUCA","743","19743","SILVIA",14,1414734.091,785558.92758
"42","23","CORDOBA","001","23001","MONTERIA",14,1454684.39041,1443525.48664
"43","23","CORDOBA","500","23500","MOÑITOS",14,1435335.13624,1510493.53537
"44","44","GUAJIRA","098","44098","DISTRACCION",14,1781641.66024,1709198.24072
"45","44","GUAJIRA","430","44430","MAICAO",14,1851857.50778,1761915.65409
"46","47","MAGDALENA","675","47675","SALAMINA",14,1586922.74859,1659644.51649
"47","50","META","001","50001","VILLAVICENCIO",14,1732765.37983,947218.73082
"48","68","SANTANDER","001","68001","BUCARAMANGA",14,1771300.33211,1288922.32079
"49","68","SANTANDER","307","68307","GIRON",14,1756246.82067,1275419.64275
"50","70","SUCRE","215","70215","COROZAL",14,1531067.70509,1513165.77662
"51","76","VALLE","892","76892","YUMBO",14,1396502.63358,890163.25177
"52","86","PUTUMAYO","320","86320","ORITO",14,1349071.79707,566379.19451
"53","99","VICHADA","001","99001","PUERTO CARREÑO",14,2331550.09586,1151438.98819
"54","08","ATLANTICO","421","08421","LURUACO",15,1539350.05765,1672147.85562
"55","08","ATLANTICO","638","08638","SABANALARGA",15,1561218.04619,1671111.43841
"56","08","ATLANTICO","675","08675","SANTA LUCIA",15,1560571.54076,1641241.52223
"57","08","ATLANTICO","685","08685","SANTO TOMAS",15,1578595.48784,1684904.98945
"58","13","BOLIVAR","052","13052","ARJONA",15,1516281.0472,1619535.21205
"59","13","BOLIVAR","062","13062","ARROYOHONDO",15,1554007.88351,1628708.55038
"60","13","BOLIVAR","248","13248","EL GUAMO",15,1565238.50211,1605910.22009
"61","13","BOLIVAR","442","13442","MARIA LA BAJA",15,1519599.13704,1598694.32785
"62","13","BOLIVAR","458","13458","MONTECRISTO",15,1619847.71124,1382545.4979
"63","13","BOLIVAR","654","13654","SAN JACINTO",15,1545988.98584,1583466.25829
"64","13","BOLIVAR","673","13673","SANTA CATALINA",15,1527086.3754,1673594.26582
"65","13","BOLIVAR","683","13683","SANTA ROSA",15,1516887.75569,1653393.56704
"66","19","CAUCA","548","19548","PIENDAMO",15,1390851.24228,792487.09275
"67","20","CESAR","250","20250","EL PASO",15,1701993.52364,1569020.10492
"68","41","HUILA","001","41001","NEIVA",15,1534824.16869,823922.48553
