"","COD_DPTO","Departamento","COD_MUNICIPIO","cod_unique_municipio","Municipio","week_1st","xcoord","ycoord"
"1","54","NORTE SANTANDER","001","54001","CUCUTA",1,1838764.1412,1396686.15568
"2","54","NORTE SANTANDER","261","54261","EL ZULIA",1,1822948.32816,1392948.52481
"3","76","VALLE","001","76001","CALI",1,1389293.47038,868324.42082
"4","88","SAN ANDRES","001","88001","SAN ANDRES",1,821735.87958,1879494.71645
"5","54","NORTE SANTANDER","498","54498","OCAÑA",2,1742616.74033,1408240.8709
"6","54","NORTE SANTANDER","518","54518","PAMPLONA",2,1819389.22507,1314571.45714
"7","85","CASANARE","010","85010","AGUAZUL",2,1837224.11629,1063532.80054
"8","86","PUTUMAYO","001","86001","MOCOA",2,1377861.30526,627854.12401
"9","19","CAUCA","450","19450","MERCADERES",3,1322463.84416,690374.58895
"10","54","NORTE SANTANDER","874","54874","VILLA DEL ROSARIO",3,1840230.19517,1357014.11466
"11","85","CASANARE","410","85410","TAURAMENA",3,1828702.95333,1015603.95778
"12","41","HUILA","791","41791","TARQUI",4,1467883.52541,727961.88011
"13","52","NARIÑO","835","52835","TUMACO",4,1162882.39975,672733.82425
"14","85","CASANARE","162","85162","MONTERREY",4,1804129.53385,1031400.58756
"15","86","PUTUMAYO","568","86568","PUERTO ASIS",4,1417674.58414,544806.00709
"16","05","ANTIOQUIA","088","05088","BELLO",5,1497023.19017,1197079.80064
"17","08","ATLANTICO","001","08001","BARRANQUILLA",5,1574524.11312,1711213.52194
"18","13","BOLIVAR","001","13001","CARTAGENA",5,1505142.28024,1651314.43291
"19","23","CORDOBA","001","23001","MONTERIA",5,1454684.39041,1443525.48664
"20","41","HUILA","319","41319","GUADALUPE",5,1487830.65602,711837.9029
"21","70","SUCRE","001","70001","SINCELEJO",5,1510922.03322,1525400.80157
"22","05","ANTIOQUIA","001","05001","MEDELLIN",6,1494757.69373,1185828.3241
"23","15","BOYACA","480","15480","MUZO",6,1661685.75906,1106070.69905
"24","15","BOYACA","842","15842","UMBITA",6,1734868.77682,1072546.17905
"25","05","ANTIOQUIA","154","05154","CAUCASIA",7,1556782.67923,1365168.87934
"26","05","ANTIOQUIA","250","05250","EL BAGRE",7,1598058.99844,1347544.39271
"27","05","ANTIOQUIA","360","05360","ITAGUI",7,1494477.24718,1177139.75413
"28","15","BOYACA","507","15507","OTANCHE",7,1652448.4855,1131375.63321
"29","15","BOYACA","514","15514","PAEZ",7,1786270.97613,1059508.05391
"30","18","CAQUETA","479","18479","MORELIA",7,1490562.35891,645145.56443
"31","41","HUILA","885","41885","YAGUARA",7,1507793.0106,785346.75697
"32","05","ANTIOQUIA","197","05197","COCORNA",8,1545073.64522,1158306.163
"33","13","BOLIVAR","836","13836","TURBACO",8,1515041.45009,1640480.25913
"34","15","BOYACA","185","15185","CHITARAQUE",8,1738088.41752,1157993.38781
"35","15","BOYACA","518","15518","PAJARITO",8,1820274.71784,1091908.56415
"36","15","BOYACA","572","15572","PUERTO BOYACA",8,1623770.56724,1153272.8758
"37","50","META","001","50001","VILLAVICENCIO",8,1732765.37983,947218.73082
"38","81","ARAUCA","001","81001","ARAUCA",8,2062640.33806,1253864.24617
"39","05","ANTIOQUIA","101","05101","BOLIVAR",9,1450759.24347,1139283.89566
"40","05","ANTIOQUIA","129","05129","CALDAS",9,1493235.3905,1163282.31391
"41","05","ANTIOQUIA","790","05790","TARAZA",9,1516641.95112,1322638.63345
"42","15","BOYACA","667","15667","SAN LUIS DE GACENO",9,1773257.59405,1028178.99457
"43","15","BOYACA","681","15681","SAN PABLO DE BORBUR",9,1661796.53325,1122972.7765
"44","44","GUAJIRA","001","44001","RIOHACHA",9,1779217.41505,1744590.79579
"45","08","ATLANTICO","558","08558","POLO NUEVO",10,1572033.49385,1687386.19993
"46","50","META","568","50568","PUERTO GAITAN",10,1941373.6737,939530.19177
"47","73","TOLIMA","001","73001","IBAGUE",10,1536135.23362,985798.88767
"48","95","GUAVIARE","025","95025","EL RETORNO",10,1954115.78567,725039.09461
"49","05","ANTIOQUIA","138","05138","CAÑASGORDAS",11,1448112.70174,1247242.22844
"50","05","ANTIOQUIA","615","05615","RIONEGRO",11,1517092.08086,1174172.475
"51","08","ATLANTICO","433","08433","MALAMBO",11,1577146.08502,1696459.66482
"52","08","ATLANTICO","758","08758","SOLEDAD",11,1580078.40315,1703022.5826
"53","13","BOLIVAR","052","13052","ARJONA",11,1516281.0472,1619535.21205
"54","13","BOLIVAR","433","13433","MAHATES",11,1537306.75756,1621399.09823
"55","13","BOLIVAR","468","13468","MOMPOS",11,1608988.6483,1507463.57422
"56","13","BOLIVAR","654","13654","SAN JACINTO",11,1545988.98584,1583466.25829
"57","15","BOYACA","135","15135","CAMPOHERMOSO",11,1770702.28961,1049496.61634
"58","17","CALDAS","867","17867","VICTORIA",11,1581641.75779,1096675.0967
"59","23","CORDOBA","182","23182","CHINU",11,1519621.56296,1493422.85758
"60","25","CUNDINAMARCA","307","25307","GIRARDOT",11,1585368.6446,973504.68479
"61","47","MAGDALENA","001","47001","SANTA MARTHA",11,1677703.99058,1728796.05261
"62","66","RISARALDA","383","66383","LA CELIA",11,1451663.01285,1044736.31734
"63","86","PUTUMAYO","885","86885","VILLAGARZON",11,1371147.75352,592688.89037
"64","08","ATLANTICO","078","08078","BARANOA",12,1564514.19594,1690133.91563
"65","13","BOLIVAR","244","13244","EL CARMEN DE BOLIVAR",12,1540505.30629,1568335.84709
"66","13","BOLIVAR","442","13442","MARIA LA BAJA",12,1519599.13704,1598694.32785
"67","13","BOLIVAR","688","13688","SANTA ROSA DEL SUR",12,1642454.34302,1355685.0492
"68","20","CESAR","001","20001","VALLEDUPAR",12,1725824.91556,1647452.3788
"69","20","CESAR","011","20011","AGUACHICA",12,1712609.94506,1409706.06986
"70","47","MAGDALENA","551","47551","PIVIJAY",12,1621224.72483,1651093.68612
"71","52","NARIÑO","786","52786","TAMINANGO",12,1306380.83309,667969.32227
"72","66","RISARALDA","001","66001","PEREIRA",12,1484721.07619,1022008.19918
"73","70","SUCRE","215","70215","COROZAL",12,1531067.70509,1513165.77662
"74","70","SUCRE","473","70473","MORROA",12,1522331.12311,1533968.54135
"75","70","SUCRE","523","70523","PALMITO",12,1496543.43131,1527241.1281
"76","70","SUCRE","820","70820","TOLU",12,1499180.26403,1549340.51521
"77","73","TOLIMA","026","73026","ALVARADO",12,1565690.84442,1000511.01034
"78","13","BOLIVAR","657","13657","SAN JUAN NEPOMUCENO",13,1550212.36502,1598250.55802
"79","17","CALDAS","442","17442","MARMATO",13,1496427.14684,1100988.51673
"80","23","CORDOBA","815","23815","TUCHIN",13,1498669.62859,1515029.79773
"81","23","CORDOBA","855","23855","VALENCIA",13,1425196.43268,1402788.61697
"82","41","HUILA","298","41298","GARZON",13,1501790.17822,732734.82688
"83","66","RISARALDA","075","66075","BALBOA",13,1458992.62092,1037044.9477
"84","66","RISARALDA","170","66170","DOSQUEBRADAS",13,1489388.69549,1028774.45101
"85","70","SUCRE","204","70204","COLOSO (RICAURTE)",13,1518019.20167,1548942.39876
"86","73","TOLIMA","275","73275","FLANDES",13,1582582.69275,962897.39451
"87","73","TOLIMA","443","73443","MARIQUITA",13,1574001.74265,1073043.8508
"88","73","TOLIMA","449","73449","MELGAR",13,1604843.76606,956745.93683
"89","73","TOLIMA","483","73483","NATAGAIMA",13,1551286.88729,884738.96629
"90","08","ATLANTICO","573","08573","PUERTO COLOMBIA",14,1565736.45774,1713605.02259
"91","13","BOLIVAR","760","13760","SOPLAVIENTO",14,1543946.98391,1638585.22954
"92","17","CALDAS","380","17380","LA DORADA",14,1595339.45173,1107121.63594
"93","41","HUILA","001","41001","NEIVA",14,1534824.16869,823922.48553
"94","41","HUILA","357","41357","IQUIRA",14,1490162.81317,790267.00138
"95","41","HUILA","799","41799","TELLO",14,1555659.40805,828158.74256
"96","44","GUAJIRA","560","44560","MANAURE",14,1820764.59157,1786081.7712
"97","47","MAGDALENA","189","47189","CIENAGA",14,1660916.30437,1702569.99006
"98","50","META","689","50689","SAN MARTIN",14,1790108.37586,885781.29758
"99","52","NARIÑO","356","52356","IPIALES",14,1301462.21212,553602.14685
"100","54","NORTE SANTANDER","553","54553","PUERTO SANTANDER",14,1846908.95349,1421065.17239
"101","66","RISARALDA","088","66088","BELEN DE UMBRIA",14,1467107.56159,1068370.94702
"102","66","RISARALDA","456","66456","MISTRATO",14,1456568.12261,1091990.96067
"103","68","SANTANDER","001","68001","BUCARAMANGA",14,1771300.33211,1288922.32079
"104","68","SANTANDER","406","68406","LEBRIJA",14,1751221.22197,1293989.25515
"105","70","SUCRE","221","70221","COVEÑAS",14,1485937.63628,1533709.15854
"106","70","SUCRE","418","70418","LOS PALMITOS",14,1534867.43671,1537458.00252
"107","70","SUCRE","742","70742","SINCE",14,1548249.86667,1519206.86075
"108","70","SUCRE","771","70771","SUCRE",14,1587182.01021,1470675.71608
"109","73","TOLIMA","408","73408","LERIDA",14,1572468.9543,1032027.07186
"110","73","TOLIMA","861","73861","VENADILLO",14,1572876.69529,1014691.22512
"111","73","TOLIMA","870","73870","VILLAHERMOSA",14,1546492.90248,1042902.4226
"112","05","ANTIOQUIA","045","05045","APARTADO",15,1387347.64816,1366565.28951
"113","05","ANTIOQUIA","647","05647","SAN ANDRES",15,1488031.28322,1259071.68156
"114","17","CALDAS","614","17614","RIOSUCIO",15,1479786.73923,1095280.83529
"115","23","CORDOBA","162","23162","CERETE",15,1467091.272,1477640.68478
"116","23","CORDOBA","678","23678","SAN CARLOS",15,1483000.89867,1457353.06677
"117","23","CORDOBA","807","23807","TIERRALTA",15,1431457.31454,1357836.1278
"118","25","CUNDINAMARCA","612","25612","RICAURTE",15,1594534.80955,970148.6553
"119","44","GUAJIRA","430","44430","MAICAO",15,1851857.50778,1761915.65409
"120","52","NARIÑO","683","52683","SANDONA",15,1291776.30544,634348.99362
